ID,Sub Tag Path,FIELD <Equip_Description>
Line1_LTU_124,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW2/OT/Equip_Description,Line 1 TOTE B
Line1_LTU_125,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW2/SD/Equip_Description,Line 1 TOTE B
Line1_LTU_126,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW2/SE/Equip_Description,Line 1 TOTE B
Line1_LTU_127,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW2/SF/Equip_Description,Line 1 TOTE B
Line1_LTU_128,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW2/SS/Equip_Description,Line 1 TOTE B
Line1_LTU_129,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW2/UT/Equip_Description,Line 1 TOTE B
Line1_LTU_130,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW2/ZT/Equip_Description,Line 1 TOTE B
Line1_LTU_131,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/HR/Equip_Description,Line 1 TOTE A
Line1_LTU_132,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/LR/Equip_Description,Line 1 TOTE A
Line1_LTU_133,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/OC/Equip_Description,Line 1 TOTE A
Line1_LTU_134,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/OT/Equip_Description,Line 1 TOTE A
Line1_LTU_135,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/SD/Equip_Description,Line 1 TOTE A
Line1_LTU_136,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/SE/Equip_Description,Line 1 TOTE A
Line1_LTU_137,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/SF/Equip_Description,Line 1 TOTE A
Line1_LTU_138,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/SS/Equip_Description,Line 1 TOTE A
Line1_LTU_139,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/UT/Equip_Description,Line 1 TOTE A
Line1_LTU_140,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW1/ZT/Equip_Description,Line 1 TOTE A
Line1_LTU_141,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/PREMIX_GIW4/ZT/Equip_Description,Line 1 RESIN TANK
Line1_LTU_142,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_143,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_144,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_145,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_146,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_147,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_148,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_149,[default]SPG/Line 1/Mixer/SYS_2_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 2
Line1_LTU_150,[default]SPG/Line 1/Mixer/SYS_3_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 3
